Net,P1Score,P2Score
575,11088,10512
575,11088,10512
575,11088,10512
575,11088,10512
575,11088,10512
575,11088,10512
575,11088,10512
725,11288,10562
625,11288,10662
900,11562,10662
875,11975,11100
1288,12388,11100
1700,12800,11100
2112,13212,11100
2525,13625,11100
2800,13900,11100
3212,14312,11100
3625,14725,11100
4038,15138,11100
4450,15550,11100
4862,15962,11100
5275,16375,11100
5550,16650,11100
5962,17062,11100
6375,17475,11100
6788,17888,11100
7200,18300,11100
7612,18712,11100
8025,19125,11100
8300,19400,11100
8712,19812,11100
9125,20225,11100
9538,20638,11100
9950,21050,11100
10362,21462,11100
10500,21600,11100
