Net,P1Score,P2Score
1662,9900,8238
1662,9900,8238
1662,9900,8238
1762,10000,8238
1862,10100,8238
1962,10200,8238
2162,10500,8338
2612,11000,8388
2312,11050,8738
2412,11450,9038
2412,11650,9238
2762,12150,9388
2962,12500,9538
3262,13050,9788
2975,13250,10275
1912,13550,11638
1475,13850,12375
1388,14350,12962
1388,14500,13112
1250,14850,13600
1350,14950,13600
1162,15300,14138
1312,15450,14138
1762,16000,14238
1662,16150,14488
1912,16500,14588
1875,16900,15025
1975,17000,15025
2275,17400,15125
2575,17700,15125
2575,17700,15125
3012,18138,15125
