Net,P1Score,P2Score
1462,14900,13438
1462,14900,13438
1462,14900,13438
1462,14900,13438
2338,15950,13612
2675,16288,13612
2975,16588,13612
2975,16588,13612
3175,16788,13612
3475,17088,13612
2638,17088,14450
2638,17088,14450
2362,17088,14725
2225,17088,14862
1525,17088,15562
1088,17088,16000
825,17262,16438
125,17438,17312
125,17438,17312
-662,17438,18100
-1100,17438,18538
-1538,17438,18975
-1538,17438,18975
-2412,17438,19850
-3288,17438,20725
-3288,17438,20725
-3725,17438,21162
