Net,P1Score,P2Score
-50,3850,3900
-50,3850,3900
-50,3850,3900
-50,3850,3900
-50,3850,3900
-50,3850,3900
50,3950,3900
50,3950,3900
-88,3950,4038
-225,3950,4175
-225,3950,4175
-362,3950,4312
-538,4050,4588
-712,4150,4862
-712,4150,4862
-925,4350,5275
-725,4550,5275
-1000,4550,5550
-1138,4550,5688
-1275,4550,5825
-1312,4650,5962
-1588,4650,6238
-1588,4650,6238
-2000,4650,6650
-2275,4650,6925
-2450,4750,7200
-2450,4750,7200
-2450,4750,7200
-2725,4750,7475
-2862,4750,7612
-2862,4750,7612
-3000,4750,7750
