Net,P1Score,P2Score
-425,6700,7125
-425,6700,7125
-425,6700,7125
-425,6700,7125
-625,6700,7325
-975,6700,7675
-1088,7138,8225
-2138,7138,9275
-2438,7238,9675
-2738,7338,10075
-2938,7438,10375
-3038,7538,10575
-2988,7838,10825
-2788,8138,10925
-2988,8138,11125
-3188,8138,11325
-2950,8575,11525
-2712,9012,11725
-2762,9012,11775
-2962,9012,11975
-2688,9888,12575
-2688,9888,12575
-2350,10325,12675
-2500,10325,12825
-1625,11200,12825
-1188,11638,12825
-1338,11638,12975
-1338,11638,12975
-900,12075,12975
-950,12075,13025
-1050,12075,13125
-612,12512,13125
-662,12512,13175
-762,12512,13275
112,13388,13275
550,13825,13275
