Net,P1Score,P2Score
-2775,12975,15750
-2775,12975,15750
-2775,12975,15750
-2775,12975,15750
-1025,14725,15750
1650,18762,17112
1750,18962,17212
775,19012,18238
1400,19638,18238
1675,20788,19112
1762,21225,19462
2200,21662,19462
2638,22100,19462
2638,22538,19900
1325,22975,21650
450,22975,22525
150,23112,22962
-150,23250,23400
-450,23388,23838
-175,23662,23838
-1050,23662,24712
-1488,23662,25150
-1925,23662,25588
-2362,23662,26025
-2362,23662,26025
-1925,24100,26025
-1488,24538,26025
-1050,24975,26025
-775,25250,26025
-638,25388,26025
-362,25662,26025
-362,25662,26025
-362,25662,26025
-362,25662,26025
-362,25662,26025
-362,25662,26025
-362,25662,26025
75,26100,26025
75,26100,26025
75,26100,26025
75,26100,26025
75,26100,26025
75,26100,26025
75,26100,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
512,26538,26025
