Net,P1Score,P2Score
100,6100,6000
100,6100,6000
100,6100,6000
100,6100,6000
100,6100,6000
200,6200,6000
62,6200,6138
62,6400,6338
162,6500,6338
262,6800,6538
62,7000,6938
-138,7400,7538
-138,7600,7738
162,8100,7938
-38,8300,8338
-75,8400,8475
-275,8600,8875
-375,8700,9075
-575,8900,9475
-675,9000,9675
-575,9100,9675
-812,9200,10012
-850,9300,10150
-1088,9600,10688
-1262,9700,10962
-1262,9900,11162
-1600,9900,11500
-1700,10000,11700
-1700,10000,11700
-1900,10000,11900
-1800,10100,11900
-2000,10100,12100
