Net,P1Score,P2Score
-4212,6850,11062
-4212,6850,11062
-4212,6850,11062
-4212,6850,11062
-4212,6850,11062
-4212,6850,11062
-4212,6850,11062
-3812,7250,11062
-3812,7250,11062
-3462,7600,11062
-3462,7600,11062
-2762,8300,11062
-2412,8650,11062
-2412,8650,11062
-1362,9700,11062
-1112,10050,11162
-512,10750,11262
888,12150,11262
1238,12500,11262
2288,13550,11262
4038,15300,11262
4738,16000,11262
5525,16788,11262
5525,16788,11262
5525,16788,11262
5525,16788,11262
5425,16788,11362
5425,16788,11362
5425,16788,11362
5325,16788,11462
5325,16788,11462
5550,17012,11462
5350,17012,11662
5350,17012,11662
5475,17238,11762
5475,17238,11762
5600,17462,11862
5600,17462,11862
6050,17912,11862
