Net,P1Score,P2Score
1400,11438,10038
1400,11438,10038
1400,11438,10038
1400,11438,10038
1400,11438,10038
1400,11438,10038
1400,11438,10038
1450,11488,10038
2325,12362,10038
2912,12950,10038
2812,13050,10238
2700,13338,10638
2962,13900,10938
3188,14325,11138
3700,15138,11438
3638,15575,11938
3625,15862,12238
3762,16200,12438
4112,16788,12675
4225,17138,12912
4325,17338,13012
3862,17488,13625
4112,17875,13762
4388,18150,13762
4625,18525,13900
4812,18712,13900
5250,19150,13900
5825,19725,13900
6700,20600,13900
7138,21038,13900
7575,21475,13900
