Net,P1Score,P2Score
0,11688,11688
0,11688,11688
0,11688,11688
0,11688,11688
0,11688,11688
0,11688,11688
138,11825,11688
0,11825,11825
0,11962,11962
138,12375,12238
138,12512,12375
275,12788,12512
412,13062,12650
275,13200,12925
138,13475,13338
-412,13475,13888
-688,13750,14438
-962,14162,15125
-1100,14300,15400
-1925,14300,16225
-2475,14300,16775
-3025,14438,17462
-3025,14712,17738
-3300,14988,18288
-3300,15400,18700
-3300,15538,18838
-3438,15812,19250
-3162,16225,19388
-3162,16500,19662
-2750,17050,19800
-2612,17325,19938
-2200,18012,20212
-1788,18700,20488
-2200,18838,21038
-2338,18975,21312
-2200,19250,21450
-2475,19250,21725
-2338,19525,21862
-2750,19662,22412
-2475,20075,22550
-2475,20212,22688
-2338,20350,22688
-2475,20350,22825
-2475,20350,22825
-2338,20488,22825
-2475,20488,22962
-2200,20762,22962
-2200,20762,22962
-2062,20900,22962
-1925,21175,23100
-1925,21175,23100
-2200,21175,23375
