Net,P1Score,P2Score
225,15912,15688
225,15912,15688
225,15912,15688
225,15912,15688
225,15912,15688
-500,16525,17025
-2688,16525,19212
-2250,16962,19212
-1812,17400,19212
-1950,17400,19350
-1512,17838,19350
-1062,18725,19788
-488,19738,20225
-50,20175,20225
-288,20375,20662
350,21012,20662
550,22088,21538
112,22088,21975
988,22962,21975
725,23138,22412
638,23488,22850
1688,24538,22850
2300,25150,22850
1862,25588,23725
2912,26638,23725
3488,27212,23725
4100,27825,23725
4538,28262,23725
5112,28838,23725
5550,29275,23725
6562,30288,23725
6562,30288,23725
7438,31162,23725
7875,31600,23725
