Net,P1Score,P2Score
-38,16500,16538
-38,16500,16538
-38,16500,16538
-38,16500,16538
162,16700,16538
262,16900,16638
312,17150,16838
262,17500,17238
38,17850,17812
-112,18050,18162
-488,18200,18688
-812,18750,19562
-1088,19000,20088
-675,19938,20612
-800,20338,21138
-925,20738,21662
-725,21288,22012
-850,21688,22538
-875,22188,23062
-1050,22538,23588
-1575,22538,24112
-2100,22538,24638
-2625,22538,25162
-2975,22538,25512
-3500,22538,26038
-4025,22538,26562
5950,33038,27088
