Net,P1Score,P2Score
1400,13800,12400
1400,13800,12400
1400,13800,12400
-700,13800,14500
-1950,15175,17125
950,19125,18175
425,20000,19575
275,20550,20275
1150,21525,20375
1388,22062,20675
1375,22250,20875
1075,22250,21175
1162,22638,21475
2038,23512,21475
2225,24000,21775
2125,24000,21875
1862,24275,22412
1762,24375,22612
2238,24950,22712
2175,25088,22912
2175,25188,23012
2075,25188,23112
1975,25188,23212
1875,25188,23312
1775,25188,23412
2550,26062,23512
2688,26200,23512
