Net,P1Score,P2Score
-1338,6912,8250
-1338,6912,8250
-1338,6912,8250
-1288,6962,8250
-1288,6962,8250
-1650,7038,8688
-1600,7112,8712
-1550,7162,8712
-1600,7212,8812
-1650,7362,9012
-1675,7438,9112
-1625,7488,9112
-1725,7588,9312
-1725,7688,9412
-2025,7688,9712
-1900,7912,9812
-1975,7938,9912
-2050,7962,10012
-2025,7988,10012
-2125,7988,10112
-2050,8062,10112
-2400,8112,10512
-2500,8112,10612
-2375,8238,10612
-2450,8262,10712
-2500,8312,10812
-2600,8412,11012
-2700,8412,11112
-2500,8612,11112
-2375,8738,11112
-2275,8838,11112
-2100,9012,11112
-1775,9338,11112
-1775,9562,11338
-1900,9662,11562
-2150,9862,12012
-2150,9862,12012
-2050,9962,12012
-2275,9962,12238
-2500,9962,12462
-2325,10362,12688
-2550,10362,12912
-2575,10562,13138
-2475,10662,13138
-2275,10862,13138
-2525,11062,13588
-2325,11262,13588
-2550,11262,13812
-2800,11462,14262
-2700,11562,14262
-2925,11562,14488
-3150,11562,14712
-3150,11562,14712
-3050,11662,14712
-3500,11662,15162
