Net,P1Score,P2Score
-62,6400,6462
-62,6400,6462
-62,6400,6462
-62,6400,6462
-62,6400,6462
-62,6400,6462
-250,6400,6650
-250,6400,6650
-200,6500,6700
-612,6500,7112
-700,6800,7500
-800,6900,7700
-600,7200,7800
-800,7500,8300
-438,8100,8538
-188,8800,8988
-88,9100,9188
225,9700,9475
325,10100,9775
512,10338,9825
812,10738,9925
662,10838,10175
1000,11275,10275
1288,11612,10325
1388,11812,10425
1488,12012,10525
1825,12350,10525
1875,12450,10575
2012,12588,10575
2012,12588,10575
2150,12725,10575
2288,12862,10575
