Net,P1Score,P2Score
-262,8788,9050
-262,8788,9050
-262,8788,9050
-312,8788,9100
-362,8788,9150
-512,8788,9300
-612,8838,9450
-738,8962,9700
-662,9138,9800
-838,9312,10150
-612,9638,10250
-862,9838,10700
-938,10062,11000
-825,10275,11100
-675,10525,11200
-612,10788,11400
-450,11100,11550
-275,11275,11550
-325,11325,11650
-188,11562,11750
-100,11800,11900
-38,12012,12050
-112,12088,12200
-175,12225,12400
-38,12412,12450
325,12875,12550
700,13450,12750
1100,14050,12950
1238,14188,12950
1625,14625,13000
2338,15338,13000
2700,15750,13050
2700,15750,13050
3500,16600,13100
3862,17012,13150
4138,17288,13150
4275,17425,13150
4688,17838,13150
