Net,P1Score,P2Score
1425,11450,10025
1425,11450,10025
1425,11450,10025
1425,11450,10025
1425,11450,10025
1425,11450,10025
1625,11650,10025
1488,11650,10162
1212,11750,10538
1512,12050,10538
1475,12150,10675
1775,12450,10675
1800,12750,10950
1762,12950,11188
1750,13450,11700
2050,13850,11800
2750,14650,11900
2950,14950,12000
2950,15250,12300
3050,15450,12400
3250,16050,12800
3250,16350,13100
3350,16550,13200
3212,16750,13538
3012,16850,13838
3075,17150,14075
2738,17150,14412
2462,17450,14988
2862,17850,14988
3262,18350,15088
3325,18550,15225
3325,18550,15225
3325,18550,15225
3325,18550,15225
3112,18775,15662
2738,18775,16038
2538,18775,16238
2362,19000,16638
2488,19225,16738
2612,19450,16838
2738,19675,16938
2600,19675,17075
2600,19675,17075
2688,19900,17212
2912,20125,17212
2638,20125,17488
2725,20350,17625
2725,20350,17625
2725,20350,17625
3175,20800,17625
3038,20800,17762
3125,21025,17900
3350,21250,17900
3350,21250,17900
3575,21475,17900
