Net,P1Score,P2Score
-25,7775,7800
-25,7775,7800
-25,7775,7800
-25,7775,7800
-25,7775,7800
-50,7775,7825
-75,7825,7900
-75,7925,8000
-75,8125,8200
75,8425,8350
50,8625,8575
0,8725,8725
50,8975,8925
-50,9125,9175
-75,9275,9350
0,9475,9475
238,9812,9575
288,10012,9725
388,10162,9775
650,10550,9900
1038,10988,9950
1212,11188,9975
1338,11438,10100
1312,11638,10325
1800,12125,10325
2075,12550,10475
2250,12825,10575
2838,13512,10675
3425,14200,10775
3925,14750,10825
4012,14888,10875
4238,15162,10925
4512,15438,10925
4512,15438,10925
4650,15575,10925
