Net,P1Score,P2Score
4838,12612,7775
4838,12612,7775
4838,12612,7775
4838,12612,7775
4838,12612,7775
4700,12612,7912
4750,12662,7912
2650,12762,10112
1975,12912,10938
1638,13262,11625
1462,13362,11900
825,13550,12725
538,13950,13412
325,14150,13825
-75,14300,14375
-162,14900,15062
238,15438,15200
-75,15538,15612
-388,15638,16025
-662,16512,17175
-1162,16562,17725
-1488,16788,18275
-1625,16788,18412
-1900,16788,18688
-1588,17238,18825
-1725,17238,18962
-2138,17238,19375
-3150,17238,20388
