Net,P1Score,P2Score
62,4675,4612
62,4675,4612
62,4675,4612
62,4675,4612
88,4700,4612
138,4750,4612
138,4750,4612
138,4750,4612
138,4750,4612
138,4750,4612
138,4750,4612
138,4750,4612
138,4750,4612
138,4750,4612
-138,4750,4888
-275,4888,5162
-138,5162,5300
275,5712,5438
688,6400,5712
550,6675,6125
275,6812,6538
688,7500,6812
688,7500,6812
962,7775,6812
1375,8325,6950
1650,8600,6950
1788,8738,6950
1650,8738,7088
1238,8738,7500
1100,8738,7638
1375,9012,7638
1238,9012,7775
1375,9150,7775
1238,9150,7912
1375,9288,7912
