Net,P1Score,P2Score
12,5750,5738
12,5750,5738
12,5750,5738
12,5750,5738
-88,5750,5838
-88,5750,5838
-112,5825,5938
-188,5950,6138
-412,6025,6438
-362,6175,6538
-312,6325,6638
-412,6425,6838
-662,6575,7238
-662,6675,7338
-1012,6725,7738
-1112,6825,7938
-1238,6900,8138
-1388,6950,8338
-1738,7000,8738
-1688,7050,8738
-1662,7075,8738
-2000,7150,9150
-2225,7200,9425
-2425,7275,9700
-2625,7350,9975
-3038,7350,10388
-3312,7350,10662
-3725,7350,11075
-3862,7350,11212
-4138,7350,11488
