Net,P1Score,P2Score
-3525,12050,15575
-3525,12050,15575
-3525,12050,15575
-3525,12050,15575
-3525,12050,15575
-3700,12050,15750
-4650,12150,16800
-5138,12150,17288
-5275,12288,17562
-5275,12425,17700
-6150,12562,18712
-6462,12662,19125
-6825,12712,19538
-7375,13038,20412
-7900,13362,21262
-8338,13638,21975
-8662,14025,22688
-9250,14312,23562
-9450,14688,24138
-9400,14875,24275
-9400,15012,24412
-9538,15288,24825
-9538,15562,25100
-9675,15562,25238
-10112,15562,25675
-10112,16000,26112
-9675,16438,26112
-9950,16438,26388
-10225,16575,26800
-10500,16712,27212
-10912,16712,27625
