Net,P1Score,P2Score
0,11138,11138
0,11138,11138
0,11138,11138
0,11138,11138
0,11138,11138
138,11275,11138
275,11412,11138
138,11412,11275
138,11550,11412
0,11962,11962
138,12512,12375
0,12788,12788
275,13338,13062
825,14300,13475
550,14712,14162
962,15538,14575
1512,16500,14988
1512,17188,15675
1925,17738,15812
2062,18150,16088
2612,18838,16225
2612,19250,16638
3300,20075,16775
3850,20900,17050
4262,21312,17050
4400,21725,17325
4400,21862,17462
4675,22138,17462
4812,22275,17462
