Net,P1Score,P2Score
-4200,9150,13350
-4200,9150,13350
-4200,9150,13350
-4200,9150,13350
-4500,9150,13650
-4525,9150,13675
-4500,9425,13925
-4350,9700,14050
-4062,10112,14175
-3338,10938,14275
-3088,11312,14400
-2550,12100,14650
-1762,12888,14650
-1412,13438,14850
-625,14325,14950
-688,14462,15150
38,15388,15350
525,16075,15550
1075,16625,15550
1762,17312,15550
2625,18275,15650
3075,18825,15750
3625,19375,15750
4412,20162,15750
5100,20850,15750
5550,21400,15850
5962,21812,15850
6650,22500,15850
