Net,P1Score,P2Score
12412,14875,2462
12412,14875,2462
12412,14875,2462
12412,14875,2462
12412,14875,2462
12412,14875,2462
12412,14875,2462
12312,14875,2562
12362,14925,2562
12512,15075,2562
13050,15612,2562
13450,16112,2662
13350,16212,2862
13400,16262,2862
13600,16462,2862
13750,16612,2862
13900,16762,2862
13950,16912,2962
14000,16962,2962
14050,17012,2962
14150,17112,2962
14150,17112,2962
14150,17112,2962
14150,17112,2962
14150,17112,2962
14150,17112,2962
14150,17112,2962
14375,17338,2962
