Net,P1Score,P2Score
1512,15212,13700
1512,15212,13700
1512,15212,13700
1512,15212,13700
1512,15212,13700
1550,15388,13838
1588,15562,13975
1388,15738,14350
1288,15912,14625
1425,16188,14762
588,16362,15775
250,16462,16212
-425,16662,17088
-1300,16662,17962
-1100,16862,17962
-1000,16962,17962
-825,17138,17962
-650,17312,17962
-375,17588,17962
-650,17762,18412
-475,17938,18412
-300,18112,18412
-300,18112,18412
-125,18288,18412
50,18462,18412
225,18638,18412
400,18812,18412
575,18988,18412
750,19162,18412
925,19338,18412
-9400,19512,28912
