Net,P1Score,P2Score
25,4650,4625
25,4650,4625
25,4650,4625
25,4650,4625
25,4650,4625
25,4650,4625
-75,4650,4725
-125,4700,4825
-150,4775,4925
-100,4875,4975
-75,5050,5125
-175,5150,5325
-125,5400,5525
-175,5500,5675
-150,5575,5725
-150,5725,5875
-175,5850,6025
-300,5875,6175
-350,6075,6425
-600,6075,6675
-525,6300,6825
-275,6700,6975
-150,7025,7175
-250,7025,7275
-250,7125,7375
0,7425,7425
-125,7450,7575
-125,7450,7575
-150,7750,7900
-25,7875,7900
-62,7975,8038
-62,7975,8038
38,8075,8038
-100,8075,8175
100,8275,8175
100,8275,8175
262,8575,8312
125,8575,8450
125,8575,8450
125,8575,8450
88,8675,8588
-50,8675,8725
-188,8675,8862
12,8875,8862
12,8875,8862
-25,8975,9000
75,9075,9000
-62,9075,9138
-200,9075,9275
