Net,P1Score,P2Score
-1350,5500,6850
-1350,5500,6850
-1350,5500,6850
-1300,5550,6850
-1225,5625,6850
-1125,5725,6850
-1050,5800,6850
-1738,5925,7662
-1600,6200,7800
-1688,6350,8038
-1875,6500,8375
-2088,6625,8712
-2362,6725,9088
-2188,6900,9088
-2150,7075,9225
-2188,7175,9362
-2062,7300,9362
-1962,7400,9362
-2088,7475,9562
-2138,7625,9762
-2188,7775,9962
-2225,7875,10100
-2438,7900,10338
-2488,7950,10438
-2625,8050,10675
-2938,8075,11012
-3000,8150,11150
-3025,8225,11250
-3200,8250,11450
-3300,8250,11550
-3250,8300,11550
-3125,8425,11550
-3125,8525,11650
-3200,8550,11750
-3375,8575,11950
-3325,8625,11950
-3475,8675,12150
-3675,8675,12350
