Net,P1Score,P2Score
-75,13488,13562
-75,13488,13562
-75,13488,13562
-75,13488,13562
-75,13488,13562
312,13925,13612
112,13925,13812
-238,13925,14162
-788,13925,14712
-350,14562,14912
-850,14762,15612
-1000,14862,15862
-1200,15300,16500
-1250,15600,16850
-1450,15600,17050
-675,16475,17150
-825,16475,17300
-388,17450,17838
-388,17550,17938
-438,18088,18525
300,18875,18575
-138,18975,19112
-38,19075,19112
-475,19075,19550
-238,19512,19750
-238,19950,20188
-575,20050,20625
300,20925,20625
738,21362,20625
1075,21800,20725
638,21800,21162
1312,22675,21362
1312,22675,21362
1750,23112,21362
1750,23550,21800
2188,23988,21800
2625,24425,21800
3062,24862,21800
3500,25300,21800
3938,25738,21800
3938,25738,21800
3500,25738,22238
3062,25738,22675
3062,25738,22675
3938,26612,22675
4375,27050,22675
