Net,P1Score,P2Score
-1400,9062,10462
-1400,9062,10462
-1400,9062,10462
-1400,9062,10462
-1400,9062,10462
-1450,9062,10512
-1375,9162,10538
-1375,9162,10538
-1812,9162,10975
-2488,9362,11850
-2188,9662,11850
-2762,9962,12725
-3538,10062,13600
-3400,10200,13600
-3550,10200,13750
-4425,10738,15162
-5300,10938,16238
-5050,11238,16288
-5738,11475,17212
-6175,11675,17850
-6762,11675,18438
-7350,11675,19025
-7600,11675,19275
-7700,11675,19375
-7700,11775,19475
-7750,11775,19525
