Net,P1Score,P2Score
-1312,13775,15088
-1312,13775,15088
-1312,13775,15088
-1312,13775,15088
-1312,13775,15088
-2188,13775,15962
-2188,13775,15962
-2338,13825,16162
-1988,14375,16362
-2612,14825,17438
-3150,14825,17975
-2475,15800,18275
-3450,15900,19350
-2962,16825,19788
-3350,16975,20325
-3738,17125,20862
-4525,17175,21700
-4875,17225,22100
-5262,17275,22538
-5900,17275,23175
-5362,17812,23175
-5262,17912,23175
-5112,18062,23175
-5012,18162,23175
-5012,18162,23175
-5012,18162,23175
-4575,18600,23175
-4475,18700,23175
-4475,18700,23175
-3112,20062,23175
-3112,20062,23175
-3112,20062,23175
-3112,20062,23175
-3112,20062,23175
-2625,20550,23175
-2188,20988,23175
-1750,21425,23175
-1750,21425,23175
-875,22300,23175
0,23175,23175
0,23175,23175
0,23175,23175
0,23175,23175
0,23175,23175
0,23175,23175
438,23612,23175
875,24050,23175
1312,24488,23175
1312,24488,23175
1750,24925,23175
2188,25362,23175
2188,25362,23175
2188,25362,23175
3062,26238,23175
3062,26238,23175
3500,26675,23175
3500,26675,23175
3500,26675,23175
3938,27112,23175
4375,27550,23175
4375,27550,23175
4812,27988,23175
4812,27988,23175
5250,28425,23175
5250,28425,23175
5250,28425,23175
5688,28862,23175
