Net,P1Score,P2Score
50,15450,15400
50,15450,15400
50,15450,15400
488,15888,15400
488,16325,15838
788,16762,15975
1225,17200,15975
500,17738,17238
-2338,17788,20125
-3162,17925,21088
-2750,18475,21225
-2612,18612,21225
-1925,19300,21225
-525,20700,21225
-250,20975,21225
875,22100,21225
1750,22975,21225
2188,23412,21225
2625,23850,21225
3938,25162,21225
4375,25600,21225
5250,26475,21225
5688,26912,21225
6562,27788,21225
7438,28662,21225
7875,29100,21225
8312,29538,21225
8750,29975,21225
9188,30412,21225
9625,30850,21225
