Net,P1Score,P2Score
1425,13575,12150
1425,13575,12150
1425,13575,12150
1450,13600,12150
1550,13700,12150
1650,13850,12200
2050,14250,12200
2188,14825,12638
1875,15000,13125
1438,15000,13562
800,15100,14300
262,15200,14938
-238,15300,15538
-638,15500,16138
-975,15700,16675
-875,16000,16875
-875,16100,16975
-1750,16100,17850
-1750,16538,18288
-1750,16538,18288
-2188,16538,18725
-1750,17412,19162
-2188,17850,20038
-2188,18288,20475
-3500,18288,21788
-3938,18288,22225
-5250,18288,23538
-5688,18288,23975
-6562,18288,24850
-6562,18288,24850
-6562,18288,24850
-7438,18288,25725
