Net,P1Score,P2Score
0,5362,5362
0,5362,5362
0,5362,5362
0,5362,5362
0,5362,5362
100,5462,5362
200,5562,5362
162,5662,5500
125,5762,5638
125,5762,5638
-150,5762,5912
-50,5862,5912
-88,5962,6050
75,6262,6188
-338,6262,6600
-375,6362,6738
-788,6362,7150
-900,6662,7562
-1038,6662,7700
-1312,6662,7975
-1625,6762,8388
-1562,6962,8525
-1462,7062,8525
-1638,7162,8800
-1912,7162,9075
-2050,7162,9212
-2325,7162,9488
-2462,7162,9625
-2362,7262,9625
-2300,7462,9762
-2575,7462,10038
-2988,7462,10450
-3025,7562,10588
-3162,7562,10725
