Net,P1Score,P2Score
-25,15050,15075
-25,15050,15075
-25,15050,15075
-25,15050,15075
-25,15050,15075
-25,15050,15075
162,15238,15075
438,15512,15075
850,15925,15075
1100,16612,15512
800,17188,16388
1375,17900,16525
1100,17900,16800
1175,18175,17000
1612,18612,17000
1612,19488,17875
1038,19488,18450
600,19625,19025
188,19625,19438
-225,19625,19850
-500,19625,20125
-912,19625,20538
-1325,19625,20950
-1738,19625,21362
-2150,19625,21775
-2562,19625,22188
-2975,19625,22600
-3250,19625,22875
-3662,19625,23288
-3938,19625,23562
-3938,19625,23562
-3938,19625,23562
-3938,19625,23562
-4812,19625,24438
-4812,19625,24438
-4812,19625,24438
-4812,19625,24438
-5688,19625,25312
-5688,19625,25312
-5688,19625,25312
-6562,19625,26188
-6562,19625,26188
-6562,19625,26188
-6562,19625,26188
-6562,19625,26188
-7438,19625,27062
-8312,19625,27938
-8750,19625,28375
-9188,19625,28812
-9625,19625,29250
-10500,19625,30125
