Net,P1Score,P2Score
0,6225,6225
0,6225,6225
0,6225,6225
25,6250,6225
125,6350,6225
-25,6475,6500
-325,6725,7050
-538,6925,7462
-450,7150,7600
-650,7225,7875
-925,7362,8288
-1200,7362,8562
-938,7912,8850
-1138,8188,9325
-775,8875,9650
-650,9425,10075
-925,9562,10488
-838,9838,10675
-700,10250,10950
-612,10525,11138
-850,10662,11512
-762,10938,11700
-538,11212,11750
-450,11488,11938
-500,11488,11988
-500,11625,12125
-362,11900,12262
-362,11900,12262
-500,11900,12400
-550,11900,12450
