Net,P1Score,P2Score
62,6938,6875
62,6938,6875
62,6938,6875
62,6938,6875
62,6938,6875
-338,6938,7275
-200,7075,7275
-262,7212,7475
-662,7212,7875
-450,7625,8075
100,8175,8075
-162,8312,8475
-488,8588,9075
-338,9138,9475
-338,9138,9475
-200,9412,9612
75,9688,9612
150,9962,9812
425,10238,9812
438,10650,10212
712,10925,10212
250,11062,10812
462,11475,11012
538,11750,11212
688,12300,11612
962,12575,11612
900,12712,11812
1175,12988,11812
1450,13262,11812
1588,13400,11812
2000,13812,11812
