Net,P1Score,P2Score
-12,7238,7250
-12,7238,7250
-12,7238,7250
-12,7238,7250
-12,7238,7250
88,7338,7250
188,7538,7350
588,7938,7350
1188,8538,7350
2538,9888,7350
3650,11438,7788
4300,12088,7788
4312,12538,8225
3538,12638,9100
3638,12738,9100
1500,12788,11288
1550,12838,11288
1562,12988,11425
788,13088,12300
938,13238,12300
600,13338,12738
800,13538,12738
462,13638,13175
562,13738,13175
662,13838,13175
325,13938,13612
425,14038,13612
525,14138,13612
575,14188,13612
625,14238,13612
725,14338,13612
825,14438,13612
875,14488,13612
