Net,P1Score,P2Score
1388,15988,14600
1388,15988,14600
1388,15988,14600
1388,15988,14600
1438,16038,14600
1975,16575,14600
1975,16575,14600
1775,16575,14800
2600,17500,14900
2012,17650,15638
1488,18000,16512
2325,18975,16650
2625,19850,17225
1950,20288,18338
2875,21212,18338
3312,21650,18338
3338,22550,19212
3038,23125,20088
2738,23262,20525
2788,23750,20962
3200,24600,21400
2462,24738,22275
2300,25012,22712
2350,25500,23150
3200,26350,23150
3750,26900,23150
3750,26900,23150
4462,27612,23150
4788,28375,23588
5250,28838,23588
5688,29275,23588
6562,30150,23588
6562,30150,23588
7000,30588,23588
