Net,P1Score,P2Score
-1362,5900,7262
-1362,5900,7262
-1362,5900,7262
-1362,5900,7262
-1362,5900,7262
-1362,5900,7262
-1362,5900,7262
-1012,6250,7262
-662,6600,7262
-662,6600,7262
-62,7300,7362
288,7650,7362
288,7650,7362
1025,8488,7462
925,8488,7562
1625,9188,7562
2325,9888,7562
3200,10862,7662
3200,10862,7662
3238,11000,7762
3625,11488,7862
3875,11838,7962
3875,11838,7962
3875,11838,7962
4012,11975,7962
4712,12675,7962
4612,12675,8062
4612,12675,8062
5100,13162,8062
