Net,P1Score,P2Score
-575,11575,12150
-575,11575,12150
-575,11575,12150
-575,11575,12150
-575,11575,12150
-675,11575,12250
-675,11575,12250
-675,11675,12350
-238,12112,12350
175,12525,12350
688,13038,12350
225,13450,13225
638,13862,13225
912,14138,13225
1325,14550,13225
1738,14962,13225
2150,15375,13225
2562,15788,13225
2975,16200,13225
3388,16612,13225
3662,16888,13225
4075,17300,13225
4488,17712,13225
4900,18125,13225
5312,18538,13225
5725,18950,13225
6138,19362,13225
6412,19638,13225
6825,20050,13225
7100,20325,13225
7300,20525,13225
7400,20625,13225
7500,20725,13225
7700,20925,13225
7800,21025,13225
7900,21125,13225
8100,21325,13225
8200,21425,13225
8300,21525,13225
8500,21725,13225
8600,21825,13225
8800,22025,13225
8900,22125,13225
9000,22225,13225
9200,22425,13225
9300,22525,13225
9500,22725,13225
9600,22825,13225
9700,22925,13225
9900,23125,13225
10000,23225,13225
10200,23425,13225
10300,23525,13225
10500,23725,13225
