Net,P1Score,P2Score
338,8950,8612
338,8950,8612
338,8950,8612
288,8950,8662
188,8950,8762
138,8950,8812
38,8950,8912
350,9362,9012
525,9638,9112
650,9912,9262
675,10088,9412
1375,11088,9712
1462,11225,9762
1575,11538,9962
1412,11675,10262
1725,12088,10362
2075,12638,10562
2300,12912,10612
2750,13362,10612
2688,13500,10812
2988,13950,10962
2925,14088,11162
3275,14638,11362
3412,14775,11362
3500,14912,11412
3450,14912,11462
3862,15325,11462
3762,15325,11562
3800,15462,11662
4162,15875,11712
4388,16150,11762
4938,16700,11762
4888,16700,11812
5025,16838,11812
5338,17150,11812
5562,17425,11862
5562,17425,11862
5700,17562,11862
